Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,LocationType
The Gaerham Farmstead,2.0,WOD_Dock_Small_01,180.0,836,247,64,127,Wayrest,836.4296875,-247.5625,5.0,HomeFarms
Wayrest,2.0,WOD_Wayrest_Dock_Lighthouse_Large_01,-45.0,859,244,127,0,Wayrest,859.4765625,-244.4296875,1.0,TownCity
Mertale Court,2.0,WOD_Dock_Small_01,-90.0,875,250,0,64,Wayrest,875.4765625,-250.4296875,1.0,TownVillage
The Laughing Porcupine Pub,2.0,WOD_Dock_Small_01,-90.0,876,255,0,64,Wayrest,876.4765625,-255.4296875,1.0,Tavern
Eastwold,2.0,WOD_Wayrest_Dock_Lighthouse_Large_01,-135.0,884,255,0,0,Wayrest,884.53125,-255.46875,1.0,TownCity
Chardale,2.0,WOD_Wayrest_Dock_Lighthouse_Medium_01,180.0,887,256,64,127,Wayrest,887.4765625,-256.546875,1.0,TownVillage
Eternal Prophet of Akatosh,2.0,WOD_Dock_Small_01,-90.0,861,249,0,64,Wayrest,861.4765625,-249.4296875,1.0,ReligionTemple
Old Elyssa's Hovel,2.0,WOD_Dock_Small_01,180.0,866,249,64,127,Wayrest,866.4765625,-249.546875,1.0,HomePoor
Inner Rebirth of Akatosh,2.0,WOD_Dock_Lighthouse_Small_01,180.0,889,257,64,127,Wayrest,889.4765625,-257.546875,1.0,ReligionTemple
Hawksley Hall,2.0,WOD_Dock_Small_01,180.0,892,258,64,127,Wayrest,892.4765625,-258.546875,1.0,HomeWealthy
Djen Lodge,2.0,WOD_Dock_Small_01,180.0,900,256,64,127,Wayrest,900.4765625,-256.546875,1.0,ReligionCult
Vanhope Hall,2.0,WOD_Dock_Lighthouse_Small_01,180.0,907,258,64,127,Wayrest,907.4765625,-258.546875,1.0,TownHamlet
Grayville Court,2.0,WOD_Dock_Small_01,0.0,907,262,64,0,Wayrest,907.5234375,-262.5078125,1.0,TownHamlet
The Lion and Castle Tavern,2.0,WOD_Dock_Small_01,-45.0,902,264,127,0,Wayrest,902.5234375,-264.5078125,1.0,Tavern
Burning Tree of Akatosh,2.0,WOD_Dock_Small_01,180.0,923,261,64,127,Wayrest,923.4765625,-261.546875,1.0,ReligionTemple
Coppersly Hall,2.0,WOD_Dock_Small_01,180.0,925,261,64,127,Wayrest,925.4765625,-261.546875,1.0,HomeWealthy
Longmore Field,2.0,WOD_Wayrest_Dock_Lighthouse_Medium_01,180.0,931,262,64,127,Wayrest,931.4765625,-262.546875,1.0,TownVillage
Kieran Theatre,2.0,WOD_Dock_Lighthouse_Small_01,180.0,940,264,64,127,Wayrest,940.4765625,-264.546875,0.0,ReligionCult
The Yeomsley Farmstead,2.0,WOD_Dock_Small_01,180.0,942,264,64,127,Wayrest,942.4765625,-264.546875,0.0,HomeFarms
Aldingbridge Moor,2.0,WOD_Dock_Lighthouse_Small_01,180.0,956,265,64,127,Wayrest,956.4765625,-265.546875,1.0,TownHamlet
Wartry Moor,2.0,WOD_Dock_Lighthouse_Small_01,180.0,964,266,64,127,Wayrest,964.4765625,-266.546875,1.0,TownHamlet
Pencart,2.0,WOD_Dock_Lighthouse_Small_01,0.0,152,38,64,0,Northmoor,152.3984375,-38.3828125,1.0,TownVillage
The Elyzanna Assembly,2.0,WOD_Dock_Small_01,0.0,59,144,64,0,Tulune,59.53125,-144.34375,1.0,DungeonLabyrinth
The Citadel of Hearthham,2.0,WOD_Dock_Small_01,45.0,62,148,127,127,Tulune,62.640625,-148.359375,1.0,DungeonLabyrinth
Ruins of Castle Gaerton,2.0,WOD_Dock_Small_01,180.0,125,201,64,127,Daggerfall,125.4921875,-201.5078125,1.0,DungeonRuin
Aldbrugh,2.0,WOD_Dock_Lighthouse_Small_01,135.0,333,202,0,127,Shalgora,333.46875,-202.5,1.0,TownHamlet
The Moorwing Cemetery,2.0,WOD_Dock_Lighthouse_Medium_01,0.0,366,193,64,0,Anticlere,366.5390625,-193.453125,1.0,Graveyard
The Rusty Goblin Hostel,2.0,WOD_Dock_Small_01,90.0,544,137,127,64,Dwynnen,544.546875,-137.421875,1.0,Tavern
The Tomb of Veromaus,2.0,WOD_Dock_Small_01,-135.0,553,134,0,0,Bhoriane,553.4765625,-134.546875,1.0,DungeonLabyrinth
The Grave of Lithogheon,2.0,WOD_Dock_Small_01,90.0,593,137,127,64,Bhoriane,593.5625,-137.5703125,1.0,DungeonLabyrinth
Tower Kinghart,2.0,WOD_Dock_Small_01,0.0,589,148,64,0,Bhoriane,589.4921875,-148.5,1.0,DungeonKeep
The House of Lithivam,2.0,WOD_Dock_Small_01,90.0,591,151,127,64,Bhoriane,591.5078125,-151.5,1.0,DungeonLabyrinth
Demuagexia Hollow,2.0,WOD_Dock_Small_01,180.0,675,125,64,127,Koegria,675.53125,-125.5390625,1.0,DungeonLabyrinth
The Laboratory of Mordyval,2.0,WOD_Dock_Small_01,180.0,711,134,64,127,Alcaire,711.5,-134.53125,1.0,DungeonLabyrinth
The Stronghold of Ashfield,2.0,WOD_Dock_Small_01,180.0,713,135,64,127,Alcaire,713.5,-135.671875,1.0,DungeonKeep
Ruins of Moorford Manor,2.0,WOD_Dock_Small_01,180.0,717,135,64,127,Alcaire,717.5390625,-135.4921875,1.0,DungeonRuin
The Tower of Coppersly,2.0,WOD_Dock_Small_01,180.0,758,140,64,127,Alcaire,758.5234375,-140.578125,1.0,DungeonKeep
The Greenton Graveyard,2.0,WOD_Dock_Small_01,180.0,782,148,64,127,Alcaire,782.5,-148.4609375,4.0,Graveyard
The Kingham Graveyard,2.0,WOD_Dock_Small_01,-135.0,795,157,0,0,Menevia,795.4609375,-157.4375,3.0,Graveyard
Ruins of Old Vannorya's Place,2.0,WOD_Dock_Small_01,-90.0,793,193,0,64,Menevia,793.4609375,-193.5078125,1.0,DungeonRuin
The Dunynak Excavation,2.0,WOD_Dock_Small_01,-90.0,785,210,0,64,Menevia,785.53125,-210.5390625,1.0,DungeonLabyrinth
Joyous Light of Akatosh,2.0,WOD_Dock_Small_01,-90.0,856,242,0,64,Wayrest,856.46875,-242.53125,1.0,ReligionTemple
The Stronghold of Gaercroft,2.0,WOD_Dock_Small_01,0.0,900,264,64,0,Wayrest,900.546875,-264.4609375,1.0,DungeonKeep
Zagoparia,2.0,WOD_HF_Dock_Lighthouse_Medium_01,180.0,901,278,64,127,Mournoth,901.5,-278.4921875,5.0,TownVillage
The Prison of Rhurpur,2.0,WOD_HF_Dock_Small_01,0.0,872,281,64,0,Mournoth,872.4921875,-281.5390625,5.0,DungeonLabyrinth
The Hezthor Nest,2.0,WOD_HF_Dock_Small_01,180.0,829,287,64,127,Satakalaam,829.5234375,-287.4921875,5.0,DungeonLabyrinth
The Tomb of Verimyth,2.0,WOD_HF_Dock_Small_01,180.0,827,287,64,127,Satakalaam,827.5703125,-287.5625,5.0,DungeonLabyrinth
The Hold of Gav'kern,2.0,WOD_HF_Dock_Small_01,45.0,770,281,127,127,Lainlyn,770.5625,-281.4921875,5.0,DungeonKeep
The Prison of Grictke,2.0,WOD_HF_Dock_Small_01,0.0,751,277,64,0,Lainlyn,751.5390625,-277.3828125,5.0,DungeonLabyrinth
The Aviary of Yearock,2.0,WOD_HF_Dock_Small_01,0.0,731,282,64,0,Lainlyn,731.46875,-282.359375,5.0,DungeonLabyrinth
The Hold of Gort,2.0,WOD_HF_Dock_Small_01,0.0,704,281,64,0,Lainlyn,704.5390625,-281.4921875,5.0,DungeonKeep
Faurp's Hold,2.0,WOD_HF_Dock_Small_01,0.0,697,279,64,0,Lainlyn,697.4765625,-279.3984375,5.0,DungeonLabyrinth
The Prison of Glurkum,2.0,WOD_HF_Dock_Small_01,0.0,682,285,64,0,Lainlyn,682.546875,-285.5,5.0,DungeonLabyrinth
The Monastery of Baalibleusulla,2.0,WOD_HF_Dock_Small_01,0.0,656,281,64,0,Lainlyn,656.4609375,-281.59375,4.0,DungeonLabyrinth
Corranoth's Tomb,2.0,WOD_HF_Dock_Small_01,0.0,614,280,64,0,Dragontail Mountains,614.5390625,-280.5078125,4.0,DungeonLabyrinth
Inner Altar of Dibella,2.0,WOD_HF_Dock_Lighthouse_Small_01,-90.0,583,276,0,64,Tigonus,583.453125,-276.4375,4.0,ReligionTemple
Ruins of The Ghuldten Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,564,295,64,0,Tigonus,564.4375,-295.53125,6.0,DungeonRuin
The Old Kharcur Shack,2.0,WOD_HF_Dock_Small_01,-45.0,470,351,127,0,Tigonus,470.5078125,-351.578125,0.0,HomePoor
The Faollan Pit,2.0,WOD_HF_Dock_Small_01,-45.0,446,370,127,0,Ayasofya,446.4296875,-370.4765625,7.0,DungeonLabyrinth
The Cavern of Homuneusuna,2.0,WOD_HF_Dock_Small_01,0.0,429,373,64,0,Sentinel,429.5390625,-373.5078125,7.0,DungeonLabyrinth
Ruins of The Bernar Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,411,372,64,0,Sentinel,411.53125,-372.4296875,7.0,DungeonRuin
The Cavern of Homunateusia,2.0,WOD_HF_Dock_Small_01,90.0,381,364,127,64,Sentinel,381.5390625,-364.578125,7.0,DungeonLabyrinth
Tower Klolpon,2.0,WOD_HF_Dock_Small_01,180.0,398,346,64,127,Sentinel,398.5703125,-346.5,7.0,DungeonKeep
The Fortress of Fhojum,2.0,WOD_HF_Dock_Small_01,0.0,399,342,64,0,Sentinel,399.4765625,-342.578125,7.0,DungeonLabyrinth
Tower Dejom,2.0,WOD_HF_Dock_Small_01,0.0,378,345,64,0,Sentinel,378.4375,-345.53125,7.0,DungeonKeep
The Monastery of Baalebron,2.0,WOD_HF_Dock_Small_01,-90.0,369,352,0,64,Sentinel,369.3828125,-352.34375,7.0,DungeonLabyrinth
Old Rloski's Shack,2.0,WOD_HF_Dock_Small_01,0.0,364,354,64,0,Sentinel,364.4296875,-354.53125,7.0,HomePoor
Kieran Theatre,2.0,WOD_HF_Dock_Small_01,-45.0,300,393,127,0,Myrkwasa,300.4921875,-393.5234375,7.0,ReligionCult
Castle Mormun,2.0,WOD_HF_Dock_Small_01,-90.0,276,406,0,64,Myrkwasa,276.53125,-406.53125,7.0,DungeonKeep
T'over Tower,2.0,WOD_HF_Dock_Small_01,0.0,263,405,64,0,Pothago,263.421875,-405.578125,7.0,DungeonLabyrinth
Ruins of Tlolp'kern Manor,2.0,WOD_HF_Dock_Small_01,0.0,246,405,64,0,Pothago,246.5078125,-405.578125,7.0,DungeonRuin
The Nest of Skoedon,2.0,WOD_HF_Dock_Small_01,0.0,241,407,64,0,Pothago,241.4921875,-407.4921875,7.0,DungeonLabyrinth
The Vault of Garoghyth,2.0,WOD_HF_Dock_Small_01,-90.0,227,417,0,64,Pothago,227.6015625,-417.5390625,7.0,DungeonLabyrinth
The Tomb of Lithelaus,2.0,WOD_HF_Dock_Small_01,0.0,217,422,64,0,Kairou,217.4609375,-422.5,7.0,DungeonLabyrinth
Stifylir's Guard,2.0,WOD_HF_Dock_Small_01,0.0,205,433,64,0,Kairou,205.4375,-433.5390625,7.0,DungeonKeep
The Roost of Trogrugoth,2.0,WOD_HF_Dock_Small_01,-90.0,173,453,0,64,Abibon-gora,173.421875,-453.546875,7.0,DungeonLabyrinth
The Tower of T'ircten,2.0,WOD_HF_Dock_Small_01,-90.0,168,468,0,64,Abibon-gora,168.5078125,-468.6015625,7.0,DungeonKeep
Lhur's Hold,2.0,WOD_HF_Dock_Small_01,0.0,164,476,64,0,Abibon-gora,164.5078125,-476.546875,7.0,DungeonKeep
Old Burktha's Hovel,2.0,WOD_HF_Dock_Small_01,0.0,162,476,64,0,Abibon-gora,162.5078125,-476.53125,7.0,HomePoor
Ruins of Saerk Hall,2.0,WOD_HF_Dock_Small_01,-90.0,153,483,0,64,Abibon-gora,153.4375,-483.3984375,7.0,DungeonRuin
Ruins of Cosh Hall,2.0,WOD_HF_Dock_Small_01,90.0,439,343,127,64,Cybiades,439.5234375,-343.5234375,7.0,DungeonRuin
The Selpar Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,406,325,64,0,Sentinel,406.5234375,-325.5,7.0,HomeFarms
The Nest of Helloth,2.0,WOD_HF_Dock_Small_01,-90.0,199,455,0,64,Kairou,199.59375,-455.46875,7.0,DungeonLabyrinth
Ruins of Mhoghton Orchard,2.0,WOD_HF_Dock_Small_01,0.0,198,458,64,0,Abibon-gora,198.5390625,-458.453125,7.0,DungeonRuin
Ruins of The Dhirtum Farmstead,2.0,WOD_HF_Dock_Small_01,-90.0,179,457,0,64,Abibon-gora,179.453125,-457.4921875,7.0,DungeonRuin
Ruins of Tower Darhtin,2.0,WOD_HF_Dock_Small_01,0.0,176,460,64,0,Abibon-gora,176.40625,-460.4765625,7.0,DungeonRuin
THe Crypts of Mastersmith,2.0,WOD_Dock_Small_01,180.0,712,234,64,127,Isle of Balfiera,712.5,-234.5390625,4.0,Graveyard
Ruins of Old Evelanna's Hovel,2.0,WOD_Dock_Small_01,0.0,727,188,64,0,Isle of Balfiera,727.546875,-188.4609375,4.0,DungeonRuin
The Yeomhart Graveyard,2.0,WOD_Dock_Small_01,-90.0,681,195,0,64,Isle of Balfiera,681.5625,-195.453125,4.0,Graveyard
Ruins of Coppercroft Court,2.0,WOD_Dock_Small_01,-135.0,685,225,0,0,Isle of Balfiera,685.359375,-225.5078125,4.0,DungeonRuin
Ruins of The Greening Cabin,2.0,WOD_Dock_Small_01,180.0,654,201,64,127,Isle of Balfiera,654.5078125,-201.4921875,1.0,DungeonRuin
Ruins of Old Lysayne's Hovel,2.0,WOD_Dock_Small_01,180.0,646,202,64,127,Isle of Balfiera,646.453125,-202.5234375,1.0,DungeonRuin
Ruins of Mastersley Grange,2.0,WOD_Dock_Small_01,0.0,663,178,64,0,Isle of Balfiera,663.421875,-178.546875,1.0,DungeonRuin
The Sahulessa Hermitage,2.0,WOD_Dock_Small_01,0.0,652,168,64,0,Isle of Balfiera,652.453125,-168.3515625,1.0,DungeonLabyrinth
The Masoleum of Darkivaron,2.0,WOD_Dock_Small_01,0.0,648,164,64,0,Isle of Balfiera,648.546875,-164.640625,1.0,DungeonLabyrinth
The Tombs of Masterhart,2.0,WOD_Dock_Small_01,90.0,646,162,127,64,Isle of Balfiera,646.5,-162.5390625,1.0,Graveyard
The Tower of Ghorkke,2.0,WOD_Dock_Small_01,-45.0,849,269,127,0,Satakalaam,849.546875,-269.421875,5.0,DungeonKeep
The Rusty Bird Tavern,2.0,WOD_Dock_Small_01,90.0,835,276,127,64,Satakalaam,835.4375,-276.546875,5.0,Tavern
The Cabal of Morgyrrya,2.0,WOD_Dock_Small_01,-90.0,139,239,0,64,Daggerfall,139.5078125,-239.4296875,1.0,DungeonLabyrinth
Tulune,,,,73,123,69,58,Tulune,73.5390625,-123.546875,1.0,TownCity
The Moorcroft Plantation,,,,86,100,68,54,Tulune,86.53125,-100.578125,1.0,HomeFarms
Glenumbra,,,,137,83,60,63,Glenumbra Moors,137.46875,-83.5078125,1.0,TownCity
Djen Lodge,,,,150,96,63,61,Glenpoint,150.4921875,-96.5234375,3.0,ReligionCult
The Hawking Cemetery,,,,104,75,60,70,Glenumbra Moors,104.46875,-75.453125,1.0,Graveyard
Old Lysolda's Farm,,,,137,107,61,64,Glenpoint,137.4765625,-107.5,3.0,HomeFarms
Glenpoint,,,,167,109,64,63,Glenpoint,167.5,-109.5078125,3.0,TownCity
The Yeomston Vaults,,,,168,93,56,73,Glenpoint,168.4375,-93.4296875,3.0,Graveyard
Whitebrone Hall,,,,170,91,64,60,Glenpoint,170.5,-91.53125,3.0,TownVillage
The Dwarf and Goat Hostel,,,,212,96,64,61,Glenpoint,212.5,-96.5234375,3.0,Tavern
Ilessan Hills,,,,218,86,60,67,Ilessan Hills,218.46875,-86.4765625,3.0,TownCity
Northmoor,,,,219,49,63,70,Northmoor,219.4921875,-49.453125,1.0,TownCity
The Old Copperwing Hovel,,,,240,23,67,52,Northmoor,240.5234375,-23.59375,1.0,HomePoor
The Hold of Hawkcroft,,,,242,194,67,45,Daggerfall,242.5234375,-194.6484375,1.0,DungeonKeep
Moorcroft Manor,,,,245,196,60,65,Daggerfall,245.46875,-196.4921875,1.0,HomeWealthy
Warvale,,,,248,192,63,63,Daggerfall,248.4921875,-192.5078125,1.0,TownVillage
The Old Buckingcroft Place,,,,279,194,68,60,Daggerfall,279.53125,-194.53125,1.0,HomePoor
The Coven of Elyzyn,,,,263,184,58,70,Daggerfall,263.453125,-184.453125,1.0,DungeonLabyrinth
The Prison of Edwyrick,,,,333,89,56,61,Ilessan Hills,333.4375,-89.5234375,1.0,DungeonLabyrinth
The Wicksley Farmstead,,,,334,86,60,74,Ilessan Hills,334.46875,-86.421875,1.0,HomeFarms
Ruins of Greenhouse Manor,,,,361,40,72,65,Ykalon,361.5625,-40.4921875,1.0,DungeonRuin
Ykalon,,,,347,29,63,72,Ykalon,347.4921875,-29.4375,1.0,TownCity
Phrygias,,,,449,35,59,59,Phrygias,449.4609375,-35.5390625,1.0,TownCity
Castle Wickhart,,,,483,41,56,60,Phrygias,483.4375,-41.53125,1.0,DungeonKeep
Kambria,,,,637,56,68,63,Kambria,637.53125,-56.5078125,4.0,TownCity
Wrothgaria,,,,763,22,69,60,Wrothgarian Mountains,763.5390625,-22.53125,4.0,TownCity
Alcaire,,,,707,112,69,64,Alcaire,707.5390625,-112.5,1.0,TownCity
Koegria,,,,668,83,65,73,Koegria,668.5078125,-83.4296875,1.0,TownCity
Gavaudon,,,,966,217,58,68,Gavaudon,966.453125,-217.46875,3.0,TownCity
Tuncart,,,,860,195,59,68,Wayrest,860.4609375,-195.46875,1.0,TownHamlet
Cathlech,,,,855,194,63,63,Wayrest,855.4921875,-194.5078125,1.0,TownHamlet
Menevia,,,,807,187,77,68,Menevia,807.6015625,-187.46875,1.0,TownCity
Bhoriane,,,,573,118,56,69,Bhoriane,573.4375,-118.4609375,1.0,TownCity
Dwynnen,,,,496,86,61,56,Dwynnen,496.4765625,-86.5625,1.0,TownCity
Woodston Manor,,,,473,121,60,77,Urvaius,473.46875,-121.3984375,1.0,HomeWealthy
Urvaius,,,,449,129,67,63,Urvaius,449.5234375,-129.5078125,1.0,TownCity
Whitewych Commons,,,,463,148,69,59,Anticlere,463.5390625,-148.5390625,1.0,TownHamlet
The Tower of Moorhouse,,,,459,150,69,54,Anticlere,459.5390625,-150.578125,1.0,DungeonKeep
The Crypt of Garomezzar,,,,460,148,55,73,Anticlere,460.4296875,-148.4296875,1.0,DungeonLabyrinth
Wailing Tree of Mara,,,,377,121,59,67,Anticlere,377.4609375,-121.4765625,1.0,ReligionTemple
Greening Grange,,,,375,120,63,60,Anticlere,375.4921875,-120.53125,1.0,HomeFarms
Anticlere,,,,357,168,70,68,Anticlere,357.546875,-168.46875,1.0,TownCity
Shalgora,,,,305,160,52,79,Shalgora,305.40625,-160.3828125,1.0,TownCity
Daenia,,,,406,69,56,64,Daenia,406.4375,-69.5,1.0,TownCity
Whitefort,,,,119,263,64,60,Betony,119.5,-263.53125,1.0,TownHamlet
Castle Faallem,,,,404,325,59,54,Sentinel,404.4609375,-325.578125,7.0,DungeonKeep
Blackhead,,,,676,205,63,81,Isle of Balfiera,676.4921875,-205.3671875,4.0,TownHamlet
Ruins of The Hold of Greenwing,,,,685,182,64,60,Isle of Balfiera,685.5,-182.53125,4.0,DungeonRuin
Singbrugh,,,,653,192,65,64,Isle of Balfiera,653.5078125,-192.5,1.0,TownVillage
Zagyry-Thar,,,,914,337,65,63,Totambu,914.5078125,-337.5078125,5.0,TownHamlet
The Unfortunate Guard Tavern,,,,912,338,68,72,Totambu,912.53125,-338.4375,5.0,Tavern
Sharcer Manor,,,,916,341,78,59,Totambu,916.609375,-341.5390625,5.0,HomeWealthy
Old Maarhtfa's Shack,,,,918,346,65,72,Totambu,918.5078125,-346.4375,5.0,HomePoor
Castle Rlirchem,,,,919,351,74,56,Totambu,919.578125,-351.5625,5.0,DungeonKeep
Morascubia,,,,916,354,46,60,Totambu,916.359375,-354.53125,5.0,TownHamlet
Isfeho,,,,915,357,67,68,Totambu,915.5234375,-357.46875,5.0,TownHamlet
T'orkun Manor,,,,918,357,65,61,Totambu,918.5078125,-357.5234375,5.0,HomeWealthy
Druthoth,,,,913,361,61,58,Totambu,913.4765625,-361.546875,5.0,DungeonLabyrinth
The Knave and Stag Hostel,,,,915,363,67,67,Totambu,915.5234375,-363.4765625,5.0,Tavern
Castle Faortta,,,,908,370,60,70,Totambu,908.46875,-370.453125,5.0,DungeonLabyrinth
Ruins of The Grusom Plantation,,,,888,379,51,69,Totambu,888.3984375,-379.4609375,5.0,DungeonRuin
Singing Seer of Zenithar,,,,885,380,74,60,Totambu,885.578125,-380.53125,5.0,ReligionTemple
The Fox and Hedgehog Lodge,,,,881,381,67,70,Totambu,881.5234375,-381.453125,5.0,Tavern
Ruins of Castle Gag,,,,879,382,58,67,Totambu,879.453125,-382.4765625,5.0,DungeonRuin
The Destten Vaults,,,,876,379,65,69,Totambu,876.5078125,-379.4609375,5.0,Graveyard
Dragontail,,,,856,485,60,58,Dragontail Mountains,856.46875,-485.546875,4.0,TownCity
Ephesus,,,,891,469,64,76,Ephesus,891.5,-469.40625,4.0,TownCity
Kozanset,,,,704,337,69,63,Kozanset,704.5390625,-337.5078125,5.0,TownCity
Castle Vlorgten,,,,695,292,68,65,Lainlyn,695.53125,-292.4921875,5.0,DungeonKeep
The Vojagon Aviary,,,,697,293,60,60,Lainlyn,697.46875,-293.53125,5.0,DungeonLabyrinth
Tigonus,,,,550,316,67,74,Tigonus,550.5234375,-316.421875,6.0,TownCity
The Queen's Goblin Hostel,,,,515,334,64,61,Tigonus,515.5,-334.5234375,6.0,Tavern
The Sirdam Farmstead,,,,496,339,59,55,Tigonus,496.4609375,-339.5703125,6.0,HomeFarms
The Norgoth Nest,,,,496,341,72,58,Tigonus,496.5625,-341.546875,6.0,DungeonLabyrinth
Ayasofya,,,,451,402,67,68,Ayasofya,451.5234375,-402.46875,8.0,TownCity
Alik'ra,,,,401,443,61,58,Alik'r Desert,401.4765625,-443.546875,8.0,TownCity
Pothago,,,,249,408,67,64,Pothago,249.5234375,-408.5,7.0,TownCity
The Old Mhilp'kern Shack,,,,218,432,59,58,Kairou,218.4609375,-432.546875,7.0,HomePoor
The Caeghton Farmstead,,,,188,468,70,72,Abibon-gora,188.546875,-468.4375,7.0,HomeFarms
The Faortrn Plantation,,,,177,477,64,55,Abibon-gora,177.5,-477.5703125,7.0,HomeFarms
Abibon-gora,,,,207,474,64,70,Abibon-gora,207.5,-474.453125,7.0,TownCity
Kairou,,,,220,459,60,74,Kairou,220.46875,-459.421875,7.0,TownCity
Myrkwasa,,,,291,418,63,65,Myrkwasa,291.4921875,-418.4921875,7.0,TownCity
Kaluhbia,,,,415,480,78,67,Bergama,415.609375,-480.4765625,8.0,TownCity
Bergama,,,,431,472,70,61,Bergama,431.546875,-472.5234375,8.0,TownCity
Antyphyllos,,,,471,446,63,65,Antiphyllos,471.4921875,-446.4921875,8.0,TownCity
Santaki,,,,653,437,73,72,Santaki,653.5703125,-437.4375,9.0,TownCity
Mogahanu,,,,766,311,72,76,Lainlyn,766.5625,-311.40625,5.0,TownHamlet
Old Caildta's Place,,,,763,310,82,65,Lainlyn,763.640625,-310.4921875,5.0,HomePoor
Lainlyn,,,,737,289,58,67,Lainlyn,737.453125,-289.4765625,5.0,TownCity
Totambu,,,,868,364,70,73,Totambu,868.546875,-364.4296875,5.0,TownCity
Ruins of The Tower of M'ofylom,,,,854,306,82,73,Satakalaam,854.640625,-306.4296875,5.0,DungeonRuin
Satakalaam,,,,839,302,67,78,Satakalaam,839.5234375,-302.390625,5.0,TownCity
Mournoth,,,,981,324,65,60,Mournoth,981.5078125,-324.53125,5.0,TownCity
The Ashham Tombs,,,,361,195,64,56,Anticlere,361.5,-195.5625,1.0,Graveyard
